what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769687360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769697821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365769721693
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1365769727817
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1365769728533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769729346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769729558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365769732800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769734132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769746918
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769749899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769753266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769764509
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769781406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769782491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769809260
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1365769820503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769842257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769846239
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1365769846271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.perspectives.showPerspective",1365769846271
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769852000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769853942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769864389
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769872787
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1365769873025
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1365769873056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1365769873059
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.views.showView",1365769873059
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365769881073
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365769882506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769891339
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769898410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769906698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769915814
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1365769917267
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1365769922588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769922930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769926070
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1365769930762
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1365769934531
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1365769940907
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365769961803
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365769962505
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1365769963469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1365769963755
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769970008
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769977567
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769978360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769980321
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1365769990419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769992123
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769992334
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1365769994141
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769995822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1365769996033
